datetime,open,high,low,close,volume
2026-04-27 18:56:00,266.44,266.4425,266.38,266.39,40903
2026-04-27 18:57:00,266.3901,266.45,266.39,266.425,34279
2026-04-27 18:58:00,266.424,266.45,266.355,266.41,42712
2026-04-27 18:59:00,266.4,266.42,266.3631,266.42,38949
2026-04-27 19:00:00,266.44,266.59,266.44,266.52,52991
2026-04-27 19:01:00,266.53,266.56,266.44,266.44,34906
2026-04-27 19:02:00,266.46,266.49,266.39,266.455,50491
2026-04-27 19:03:00,266.455,266.53,266.42,266.42,28677
2026-04-27 19:04:00,266.41,266.48,266.365,266.38,71827
2026-04-27 19:05:00,266.36,266.395,266.33,266.37,69083
2026-04-27 19:06:00,266.37,266.41,266.33,266.34,60885
2026-04-27 19:07:00,266.34,266.41,266.31,266.405,42382
2026-04-27 19:08:00,266.395,266.477,266.35,266.464,31621
2026-04-27 19:09:00,266.46,266.4766,266.43,266.46,45813
2026-04-27 19:10:00,266.45,266.59,266.43,266.5704,34424
2026-04-27 19:11:00,266.575,266.62,266.56,266.565,40286
2026-04-27 19:12:00,266.57,266.65,266.565,266.638,36078
2026-04-27 19:13:00,266.64,266.73,266.64,266.67,47247
2026-04-27 19:14:00,266.67,266.67,266.62,266.6301,30979
2026-04-27 19:15:00,266.64,266.87,266.64,266.85,68849
2026-04-27 19:16:00,266.8725,266.881,266.76,266.79,62641
2026-04-27 19:17:00,266.78,266.8,266.695,266.73,42629
2026-04-27 19:18:00,266.725,266.78,266.69,266.76,39943
2026-04-27 19:19:00,266.77,266.77,266.6502,266.68,42145
2026-04-27 19:20:00,266.68,266.7,266.65,266.68,23753
2026-04-27 19:21:00,266.68,266.72,266.65,266.7,29612
2026-04-27 19:22:00,266.67,266.8,266.67,266.72,55780
2026-04-27 19:23:00,266.72,266.8,266.72,266.75,30981
2026-04-27 19:24:00,266.775,266.825,266.7461,266.7461,39614
2026-04-27 19:25:00,266.74,266.85,266.74,266.85,48348
2026-04-27 19:26:00,266.84,266.88,266.79,266.8,37375
2026-04-27 19:27:00,266.8,266.805,266.75,266.805,33799
2026-04-27 19:28:00,266.805,267.06,266.805,267.04,116425
2026-04-27 19:29:00,267.03,267.215,267.03,267.15,130335
2026-04-27 19:30:00,267.16,267.2,267.05,267.165,84509
2026-04-27 19:31:00,267.17,267.32,267.135,267.31,107360
2026-04-27 19:32:00,267.31,267.54,267.3,267.515,113855
2026-04-27 19:33:00,267.515,267.6,267.41,267.42,95340
2026-04-27 19:34:00,267.42,267.465,267.369,267.44,112665
2026-04-27 19:35:00,267.4302,267.49,267.3901,267.47,80623
2026-04-27 19:36:00,267.47,267.47,267.38,267.395,57605
2026-04-27 19:37:00,267.395,267.4899,267.37,267.4,73804
2026-04-27 19:38:00,267.395,267.49,267.39,267.43,50196
2026-04-27 19:39:00,267.44,267.455,267.345,267.395,65041
2026-04-27 19:40:00,267.395,267.53,267.34,267.52,102789
2026-04-27 19:41:00,267.51,267.53,267.45,267.46,59488
2026-04-27 19:42:00,267.4599,267.61,267.4466,267.57,126385
2026-04-27 19:43:00,267.575,267.65,267.555,267.635,91639
2026-04-27 19:44:00,267.64,267.73,267.62,267.7,178446
2026-04-27 19:45:00,267.71,267.82,267.591,267.695,110131
2026-04-27 19:46:00,267.68,267.69,267.6062,267.69,73523
2026-04-27 19:47:00,267.7,267.73,267.61,267.73,68618
2026-04-27 19:48:00,267.73,267.74,267.6601,267.675,58021
2026-04-27 19:49:00,267.6799,267.7,267.55,267.587,90727
2026-04-27 19:50:00,267.58,267.79,267.58,267.785,133784
2026-04-27 19:51:00,267.785,267.81,267.73,267.795,109603
2026-04-27 19:52:00,267.79,267.96,267.74,267.83,163180
2026-04-27 19:53:00,267.83,267.83,267.69,267.78,137301
2026-04-27 19:54:00,267.79,267.9,267.53,267.54,250015
2026-04-27 19:55:00,267.54,267.7,267.43,267.64,175128
2026-04-27 19:56:00,267.64,267.7295,267.63,267.68,185895
2026-04-27 19:57:00,267.685,267.885,267.64,267.845,203960
2026-04-27 19:58:00,267.84,267.85,267.66,267.66,272740
2026-04-27 19:59:00,267.67,267.69,267.44,267.68,645524
2026-04-28 13:30:00,272.335,273.22,270.18,270.47,2606381
2026-04-28 13:31:00,270.493,270.493,269.02,269.4,334468
2026-04-28 13:32:00,269.453,269.72,269.08,269.4988,182504
2026-04-28 13:33:00,269.44,269.76,269.215,269.58,244361
2026-04-28 13:34:00,269.59,269.7699,269.09,269.1219,168747
2026-04-28 13:35:00,269.1205,269.64,269.07,269.31,198848
2026-04-28 13:36:00,269.3201,269.46,268.79,268.81,185716
2026-04-28 13:37:00,268.75,269.1799,268.66,269.1,108387
2026-04-28 13:38:00,269.1438,269.88,269.1438,269.83,221949
2026-04-28 13:39:00,269.8301,270.05,269.8,269.85,158265
2026-04-28 13:40:00,269.824,269.94,269.43,269.94,122356
2026-04-28 13:41:00,269.935,269.935,269.43,269.705,115352
2026-04-28 13:42:00,269.71,269.75,269.45,269.48,163517
2026-04-28 13:43:00,269.48,269.75,269.41,269.51,102621
2026-04-28 13:44:00,269.525,269.835,269.51,269.75,89358
2026-04-28 13:45:00,269.76,270.05,269.5432,269.555,202184
2026-04-28 13:46:00,269.57,269.9199,269.53,269.81,56237
2026-04-28 13:47:00,269.815,270.03,269.55,270.02,79015
2026-04-28 13:48:00,270.0,270.28,269.9709,270.275,109838
2026-04-28 13:49:00,270.29,270.44,269.9,270.4322,206299
2026-04-28 13:50:00,270.44,270.47,270.2,270.22,112779
2026-04-28 13:51:00,270.19,270.5885,270.19,270.5699,107047
2026-04-28 13:52:00,270.57,270.6,270.24,270.2869,104685
2026-04-28 13:53:00,270.285,270.34,270.14,270.17,61081
2026-04-28 13:54:00,270.15,270.18,270.0435,270.095,70133
2026-04-28 13:55:00,270.08,270.08,269.654,269.654,106376
2026-04-28 13:56:00,269.66,269.8927,269.6001,269.67,71159
2026-04-28 13:57:00,269.72,269.93,269.65,269.9,54841
2026-04-28 13:58:00,269.91,269.985,269.77,269.965,50598
2026-04-28 13:59:00,269.94,270.0,269.72,269.905,79777
2026-04-28 14:00:00,269.85,270.15,269.67,270.12,141279
2026-04-28 14:01:00,270.09,270.26,269.95,269.95,75795
2026-04-28 14:02:00,269.93,269.99,269.84,269.92,66090
2026-04-28 14:03:00,269.93,269.93,269.68,269.8399,50360
2026-04-28 14:04:00,269.83,269.86,269.66,269.7501,39430
2026-04-28 14:05:00,269.765,269.9699,269.72,269.855,41419
2026-04-28 14:06:00,269.83,269.87,269.7,269.76,53784
