datetime,open,high,low,close,volume
2026-04-23 19:13:00,337.9,337.97,337.81,337.9407,15736
2026-04-23 19:14:00,337.98,338.15,337.97,338.095,15627
2026-04-23 19:15:00,338.11,338.215,338.11,338.215,11854
2026-04-23 19:16:00,338.2,338.39,338.2,338.31,33396
2026-04-23 19:17:00,338.32,338.38,338.1701,338.23,24834
2026-04-23 19:18:00,338.17,338.24,338.17,338.24,8597
2026-04-23 19:19:00,338.265,338.265,338.1,338.1,39112
2026-04-23 19:20:00,338.115,338.195,338.07,338.13,11507
2026-04-23 19:21:00,338.15,338.15,337.935,338.02,12247
2026-04-23 19:22:00,338.01,338.06,337.9593,337.9593,15743
2026-04-23 19:23:00,337.97,338.08,337.97,338.02,10244
2026-04-23 19:24:00,338.0,338.0995,337.9801,338.07,17213
2026-04-23 19:25:00,338.06,338.12,338.02,338.12,10068
2026-04-23 19:26:00,338.11,338.15,338.08,338.11,9870
2026-04-23 19:27:00,338.08,338.145,338.06,338.08,11156
2026-04-23 19:28:00,338.1,338.275,338.1,338.18,7985
2026-04-23 19:29:00,338.1601,338.2,338.1,338.1899,16442
2026-04-23 19:30:00,338.17,338.38,338.17,338.34,19718
2026-04-23 19:31:00,338.34,338.55,338.32,338.5251,13081
2026-04-23 19:32:00,338.54,338.66,338.5,338.585,17391
2026-04-23 19:33:00,338.58,338.61,338.345,338.345,16486
2026-04-23 19:34:00,338.33,338.33,338.0307,338.0307,14075
2026-04-23 19:35:00,338.06,338.07,337.7801,337.98,25357
2026-04-23 19:36:00,338.01,338.01,337.87,337.95,10955
2026-04-23 19:37:00,337.89,337.91,337.82,337.9,12065
2026-04-23 19:38:00,337.93,338.07,337.83,338.04,19106
2026-04-23 19:39:00,338.055,338.055,337.99,338.03,12175
2026-04-23 19:40:00,338.05,338.23,338.03,338.225,16817
2026-04-23 19:41:00,338.24,338.3,338.19,338.22,19203
2026-04-23 19:42:00,338.21,338.21,338.12,338.17,15095
2026-04-23 19:43:00,338.19,338.19,337.98,337.98,14681
2026-04-23 19:44:00,337.95,338.02,337.885,337.99,18611
2026-04-23 19:45:00,337.945,338.15,337.93,338.02,21076
2026-04-23 19:46:00,338.0081,338.13,338.0,338.09,14780
2026-04-23 19:47:00,338.05,338.07,337.98,338.04,19856
2026-04-23 19:48:00,338.05,338.12,337.985,338.04,14162
2026-04-23 19:49:00,338.045,338.155,338.045,338.12,20895
2026-04-23 19:50:00,338.04,338.04,337.18,337.785,98677
2026-04-23 19:51:00,337.79,337.86,337.66,337.86,42184
2026-04-23 19:52:00,337.83,338.1,337.69,338.09,31104
2026-04-23 19:53:00,338.1,338.26,337.9705,338.075,44583
2026-04-23 19:54:00,338.03,338.06,337.79,337.79,59498
2026-04-23 19:55:00,337.805,337.89,337.59,337.89,63165
2026-04-23 19:56:00,337.89,337.955,337.825,337.91,36285
2026-04-23 19:57:00,337.91,337.91,337.69,337.8,58749
2026-04-23 19:58:00,337.795,337.98,337.74,337.88,102025
2026-04-23 19:59:00,337.9,338.0,337.69,337.76,218986
2026-04-24 13:30:00,337.33,337.47,335.955,335.99,639900
2026-04-24 13:31:00,335.9987,336.47,335.09,335.76,72731
2026-04-24 13:32:00,335.71,335.86,335.18,335.61,67807
2026-04-24 13:33:00,335.6,335.63,335.08,335.397,88439
2026-04-24 13:34:00,335.48,335.63,334.65,334.695,120569
2026-04-24 13:35:00,334.675,334.8,334.05,334.8,125902
2026-04-24 13:36:00,334.796,335.61,334.76,335.085,94022
2026-04-24 13:37:00,335.085,335.185,334.89,334.98,74563
2026-04-24 13:38:00,334.98,335.73,334.97,335.62,73473
2026-04-24 13:39:00,335.66,336.8,335.5,336.73,80808
2026-04-24 13:40:00,336.7534,337.1499,336.69,337.11,66975
2026-04-24 13:41:00,337.04,337.0599,336.74,336.84,50115
2026-04-24 13:42:00,336.76,337.27,336.76,337.05,47743
2026-04-24 13:43:00,336.98,337.04,336.65,336.9499,33899
2026-04-24 13:44:00,336.915,336.95,336.605,336.685,30407
2026-04-24 13:45:00,336.745,336.88,336.13,336.205,83668
2026-04-24 13:46:00,336.17,336.7,335.95,336.64,52256
2026-04-24 13:47:00,336.68,337.19,336.595,337.06,40337
2026-04-24 13:48:00,337.01,337.54,336.94,337.31,52571
2026-04-24 13:49:00,337.32,337.72,337.32,337.675,28975
2026-04-24 13:50:00,337.71,338.0,337.69,337.78,41168
2026-04-24 13:51:00,337.78,337.8893,337.29,337.44,61222
2026-04-24 13:52:00,337.39,337.7599,337.39,337.5908,36452
2026-04-24 13:53:00,337.62,337.79,337.58,337.69,37463
2026-04-24 13:54:00,337.683,337.683,337.26,337.44,29605
2026-04-24 13:55:00,337.38,337.5019,337.14,337.2701,27158
2026-04-24 13:56:00,337.33,337.45,337.04,337.43,27374
2026-04-24 13:57:00,337.43,337.89,337.43,337.56,25562
2026-04-24 13:58:00,337.535,337.6,337.245,337.3,15640
2026-04-24 13:59:00,337.31,337.31,337.07,337.22,20557
2026-04-24 14:00:00,337.235,337.235,336.83,336.925,32411
2026-04-24 14:01:00,336.8901,337.3974,336.87,337.31,23712
2026-04-24 14:02:00,337.29,337.3075,337.12,337.295,22174
2026-04-24 14:03:00,337.275,337.64,337.16,337.605,51293
2026-04-24 14:04:00,337.58,337.63,337.36,337.48,19038
2026-04-24 14:05:00,337.48,337.77,337.42,337.42,27252
2026-04-24 14:06:00,337.3737,337.69,337.3737,337.59,22781
2026-04-24 14:07:00,337.57,337.6,337.1,337.1,29933
2026-04-24 14:08:00,337.12,337.31,337.06,337.265,16010
2026-04-24 14:09:00,337.35,337.74,337.34,337.58,24694
2026-04-24 14:10:00,337.53,337.64,337.405,337.64,35438
2026-04-24 14:11:00,337.61,337.85,337.6,337.84,44582
2026-04-24 14:12:00,337.86,337.97,337.665,337.75,42425
2026-04-24 14:13:00,337.79,337.8399,337.62,337.74,30629
2026-04-24 14:14:00,337.79,337.9499,337.4718,337.51,42094
2026-04-24 14:15:00,337.54,337.72,337.53,337.705,21756
2026-04-24 14:16:00,337.67,337.715,337.37,337.37,19312
2026-04-24 14:17:00,337.37,337.37,336.775,336.9,43180
2026-04-24 14:18:00,336.9,337.065,336.665,336.8,68500
2026-04-24 14:19:00,336.77,337.25,336.7483,337.19,38126
2026-04-24 14:20:00,337.17,337.55,337.125,337.39,18486
2026-04-24 14:21:00,337.37,337.44,337.24,337.43,20072
2026-04-24 14:22:00,337.45,337.535,337.345,337.515,21531
2026-04-24 14:23:00,337.51,337.73,337.51,337.65,15090
2026-04-24 14:24:00,337.62,337.87,337.53,337.72,36859
