datetime,open,high,low,close,volume
2026-04-28 13:53:00,426.84,426.9698,426.53,426.65,86215
2026-04-28 13:54:00,426.5501,426.6,426.08,426.15,87612
2026-04-28 13:55:00,426.1006,426.68,425.9,426.65,118492
2026-04-28 13:56:00,426.655,426.975,426.3813,426.73,72380
2026-04-28 13:57:00,426.77,426.96,426.25,426.2969,68678
2026-04-28 13:58:00,426.25,426.99,426.22,426.99,60692
2026-04-28 13:59:00,426.9301,427.4,426.5,426.68,101120
2026-04-28 14:00:00,426.68,427.0999,426.3,426.93,77962
2026-04-28 14:01:00,426.9,427.13,426.46,426.6,51357
2026-04-28 14:02:00,426.64,426.715,426.25,426.65,56898
2026-04-28 14:03:00,426.63,426.66,426.1206,426.23,51683
2026-04-28 14:04:00,426.27,426.62,425.65,425.74,83178
2026-04-28 14:05:00,425.66,426.43,425.52,426.21,62456
2026-04-28 14:06:00,426.28,426.77,426.21,426.505,56446
2026-04-28 14:07:00,426.52,426.83,426.341,426.341,56227
2026-04-28 14:08:00,426.34,426.5,426.24,426.36,63861
2026-04-28 14:09:00,426.38,426.71,426.32,426.45,49419
2026-04-28 14:10:00,426.45,426.59,426.22,426.36,45009
2026-04-28 14:11:00,426.38,426.54,425.93,426.045,69110
2026-04-28 14:12:00,426.06,426.2699,425.97,426.1725,49878
2026-04-28 14:13:00,426.2,426.29,425.89,426.1835,50317
2026-04-28 14:14:00,426.18,426.39,425.43,425.495,109114
2026-04-28 14:15:00,425.495,425.59,424.95,425.34,246411
2026-04-28 14:16:00,425.325,425.42,425.07,425.14,233079
2026-04-28 14:17:00,425.17,425.51,425.11,425.21,65228
2026-04-28 14:18:00,425.21,425.85,425.2,425.79,71576
2026-04-28 14:19:00,425.805,425.925,425.255,425.27,38882
2026-04-28 14:20:00,425.28,425.74,425.27,425.67,53377
2026-04-28 14:21:00,425.69,425.84,425.47,425.66,56910
2026-04-28 14:22:00,425.64,425.8,425.2,425.37,61597
2026-04-28 14:23:00,425.35,425.5525,425.22,425.45,32482
2026-04-28 14:24:00,425.46,425.92,425.28,425.9,48026
2026-04-28 14:25:00,425.895,426.5,425.88,426.4799,81936
